molecule,box,D_m2_s,window_ps
260,35,2.605102457639016e-12,574.5
261,35,3.258717976784377e-11,1324.5
262,35,3.393548592466301e-10,1949.5
264,35,5.904306450691447e-11,1174.5
265,35,3.403369489264463e-11,1824.5
266,35,8.066419335746648e-13,1399.5
267,35,7.97797491579169e-13,224.5
268,35,7.540459373782774e-13,1674.5
269,35,1.2966006592600876e-12,674.5
270,35,1.0943302998330852e-12,1124.5
271,35,1.0126513414182912e-12,299.5
272,35,9.34215873446673e-13,674.5
273,35,7.166929379555324e-13,749.5
274,35,1.2738973083746838e-12,324.5
275,35,6.8866960383201e-13,899.5
276,35,4.3011534701873796e-13,424.5
277,35,4.048958811951235e-13,974.5
278,35,1.8200250713408788e-12,1149.5
280,35,1.15730953795206e-11,1474.5
281,35,3.3978562792639796e-12,1174.5
282,35,4.017262450389942e-12,1024.5
283,35,1.5114123563373633e-12,999.5
284,35,5.055173017403366e-10,1949.5
285,35,7.615065112573605e-10,1949.5
286,35,3.081335675399248e-11,1949.5
287,35,1.3868494343273944e-11,1399.5
288,35,1.3589896792249428e-12,1424.5
289,35,1.1288520062518194e-09,1949.5
290,35,1.869089171787222e-09,1949.5
291,35,1.1159342713645092e-10,1949.5
294,35,1.4224178619114478e-12,1249.5
295,35,3.9239093241656507e-13,949.5
296,35,2.4056687801694405e-12,1724.5
299,35,1.7138722941139917e-12,1824.5
300,35,3.233180846341033e-12,1799.5
301,35,9.28744992149112e-13,1899.5
302,35,6.17796918377866e-13,1024.5
303,35,3.1539884397819985e-12,674.5
305,35,2.4192281925308416e-11,1549.5
306,35,3.748429384627255e-12,1174.5
307,35,4.238740827263406e-12,1449.5
309,35,1.1267397272671285e-12,599.5
310,35,5.884144400375055e-09,1949.5
313,35,2.6940317003357474e-12,1924.5
314,35,1.7413544055170676e-09,1949.5
315,35,4.3795606835790454e-10,1949.5
316,35,2.1066645988972967e-10,1949.5
317,35,1.3912031647290178e-10,1549.5
318,35,1.246696634027019e-12,574.5
319,35,2.074901429095908e-12,1274.5
320,35,2.85160015973513e-10,1949.5
321,35,2.3252021728879577e-10,1949.5
322,35,5.7635786760566085e-12,1774.5
323,35,3.0138367266490307e-12,1324.5
324,35,1.1601698152968269e-12,1474.5
326,35,1.0451681415174395e-12,224.5
327,35,7.188118129651007e-11,1849.5
328,35,9.890303888735107e-11,1949.5
329,35,2.5752128735018304e-12,1099.5
330,35,2.1804190134652308e-10,1949.5
331,35,3.925020030885382e-11,1524.5
332,35,3.9574284021195905e-11,1299.5
334,35,9.048303340866844e-13,699.5
335,35,8.876159637225912e-11,1949.5
336,35,9.369310672760598e-11,1949.5
337,35,1.2264952285238329e-10,1949.5
338,35,4.6511028941169954e-10,1949.5
339,35,1.6404127405158125e-12,1524.5
340,35,1.3061647207843894e-09,1949.5
341,35,3.718355310189567e-12,1824.5
342,35,1.9873106964523225e-12,499.5
343,35,2.6364345176932837e-10,1949.5
344,35,1.1074472633724249e-12,1299.5
345,35,1.6202950177365434e-12,224.5
346,35,1.7530455452554236e-10,1949.5
347,35,1.0703680618987186e-12,924.5
348,35,7.903398919797318e-12,1899.5
350,35,6.364435586282337e-13,974.5
351,35,6.883243382035398e-11,1449.5
352,35,1.418599684117554e-11,1949.5
354,35,6.16458684368917e-10,1949.5
