Compound_Name,SMILES_PubChem,logKp(cm/h),logKp(cm/s),Ref,T_K,Anatomical_location,Diffusion_cell,Receptor_medium,can_SMILES
Triethylamine,CCN(CC)CC,-2.31,-5.87,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,CCN(CC)CC
Triglycol Nicotinate,Not found in PubChem,-4.52,-8.08,14,305.15,Human Abdominal Skin,Static,PBS/Saline,
Triglycol Nicotinate,Not found in PubChem,-4.76,-8.32,107,,Human Skin,,,
Trimethylamine,CN(C)C,-0.16,-3.72,16,305.15,Abdominal Human Skin,Static,PBS/Saline,CN(C)C
Trimethylamine,CN(C)C,-3.73,-7.29,109,305.15,Human Abdominal Skin,Static,PBS,CN(C)C
Urea,C(=O)(N)N,-3.83,-7.39,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,NC(N)=O
Urea,C(=O)(N)N,-4.37,-7.93,14,305.15,Human Abdominal Skin,Static,PBS/Saline,NC(N)=O
Urea,C(=O)(N)N,-3.78,-7.34,109,305.15,Human Abdominal Skin,Static,PBS,NC(N)=O
Vanillin,COC1=C(C=CC(=C1)C=O)O,0.49,-3.07,15,305.15,Abdominal Human Skin,Flow,polychlorotrifluoroethylene,COc1cc(C=O)ccc1O
Vanillin,COC1=C(C=CC(=C1)C=O)O,-2.05,-5.61,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,COc1cc(C=O)ccc1O
Vanillin,COC1=C(C=CC(=C1)C=O)O,-2.25,-5.8,26,305.15,Human Abdominal Skin,Static,PBS (pH 7.4) + 0.02% sodium azide,COc1cc(C=O)ccc1O
Vinyl Acetate,CC(=O)OC=C,-2.73,-6.29,3,305.15,Abdominal Human Skin,Static/Stirred,phosphate-buffered saline,C=COC(C)=O
Water,O,-3.3,-6.86,1,305.15,Human Abdominal Skin,Static/Flow/Side-By-Side,phosphate-buffered saline/physiological saline,O
Water,O,-2.81,-6.37,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,O
Water,O,-3.7,-7.26,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,O
Water,O,-2.85,-6.41,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,O
Water,O,-3,-6.56,2,303.15,Human Skin,Static/Stirred/Flow,saline solution/phosphate buffer/isotonic aqueous solution,O
Water,O,-2.72,-6.28,14,305.15,Human Abdominal Skin,Static,PBS/Saline,O
Water,O,-2.99,-6.55,110,305.15,Human Abdominal Skin/Stratum Corneum,Static,PBS,O
"Water, Tritiated",[3H]O[3H],-2.88,-6.43,104,,Cadaver,Static Franz Cell,PBS and 0.02% NaN3,[3H]O[3H]
Zalcitabine,C1C[C@@H](O[C@@H]1CO)N2C=CC(=NC2=O)N,-3.08,-6.64,28,305.15,Human Abdominal Skin,Static,PBS/isotonic saline/Physiological saline,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
Zearalenone,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,-3.63,-7.19,100,305.15,"Surgery, Abdomen",Static Franz Cell,PBS with BSA,C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1
Α-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@H]([C@@H](CC[C@@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.67,-7.22,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@H](Br)[C@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br
Β-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@H]([C@H](CC[C@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.83,-7.39,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@@H](Br)[C@@H](Br)CC[C@H]1Br
Γ-Hexabromocyclododecane,C1C[C@H]([C@H](CC[C@@H]([C@@H](CC[C@H]([C@@H]1Br)Br)Br)Br)Br)Br,-3.86,-7.42,55,305.15,"Surgery, Breast",Static Franz Cell,DMEM based culture medium and 5% BSA,Br[C@@H]1CC[C@@H](Br)[C@@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br
